title,genres
Once Were Warriors (1994),Crime
Poison Ivy II (1996),Drama
Outbreak (1995),Action
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action
"Perez Family, The (1995)",Comedy
"Pyromaniac's Love Story, A (1995)",Comedy
Pulp Fiction (1994),Comedy
Priest (1994),Drama
Quiz Show (1994),Drama
Picture Bride (Bijo photo) (1994),Drama
"Queen Margot (Reine Margot, La) (1994)",Drama
"Quick and the Dead, The (1995)",Action
Roommates (1995),Comedy
Ready to Wear (Pret-A-Porter) (1994),Comedy
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
Three Colors: White (Trzy kolory: Bialy) (1994),Comedy
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
Stuart Saves His Family (1995),Comedy
"Swan Princess, The (1994)",Animation
"Secret of Roan Inish, The (1994)",Children
"Specialist, The (1994)",Action
Stargate (1994),Action
"Santa Clause, The (1994)",Comedy
"Shawshank Redemption, The (1994)",Crime
Shallow Grave (1994),Comedy
Suture (1993),Film-Noir
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
Swimming with Sharks (1995),Comedy
"Sum of Us, The (1994)",Comedy
National Lampoon's Senior Trip (1995),Comedy
To Live (Huozhe) (1994),Drama
Tank Girl (1995),Action
Tales from the Crypt Presents: Demon Knight (1995),Horror
Star Trek: Generations (1994),Adventure
Tales from the Hood (1995),Action
Tom & Viv (1994),Drama
Village of the Damned (1995),Horror
Tommy Boy (1995),Comedy
Vanya on 42nd Street (1994),Drama
Underneath (1995),Mystery
"Walking Dead, The (1995)",Drama
What's Eating Gilbert Grape (1993),Drama
Virtuosity (1995),Action
While You Were Sleeping (1995),Comedy
"War, The (1994)",Adventure
Double Happiness (1994),Drama
Muriel's Wedding (1994),Comedy
"Baby-Sitters Club, The (1995)",Children
Ace Ventura: Pet Detective (1994),Comedy
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy
Backbeat (1993),Drama
Bitter Moon (1992),Drama
Bullets Over Broadway (1994),Comedy
Clear and Present Danger (1994),Action
"Client, The (1994)",Drama
"Corrina, Corrina (1994)",Comedy
Crooklyn (1994),Comedy
"Crow, The (1994)",Action
Cobb (1994),Drama
"Flintstones, The (1994)",Children
Forrest Gump (1994),Comedy
Four Weddings and a Funeral (1994),Comedy
Higher Learning (1995),Drama
I Love Trouble (1994),Action
It Could Happen to You (1994),Comedy
"Jungle Book, The (1994)",Adventure
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
"Lion King, The (1994)",Adventure
Little Buddha (1993),Drama
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama
"Mask, The (1994)",Action
Maverick (1994),Adventure
Mrs. Parker and the Vicious Circle (1994),Drama
Naked Gun 33 1/3: The Final Insult (1994),Action
"Paper, The (1994)",Comedy
Reality Bites (1994),Comedy
Red Rock West (1992),Thriller
Richie Rich (1994),Children
Safe Passage (1994),Drama
"River Wild, The (1994)",Action
Speed (1994),Action
Speechless (1994),Comedy
Timecop (1994),Action
True Lies (1994),Action
When a Man Loves a Woman (1994),Drama
Wolf (1994),Drama
Wyatt Earp (1994),Western
Bad Company (1995),Action
"Low Down Dirty Shame, A (1994)",Action
Boys Life (1995),Drama
"Colonel Chabert, Le (1994)",Drama
Faster Pussycat! Kill! Kill! (1965),Action
Jason's Lyric (1994),Crime
"Secret Adventures of Tom Thumb, The (1993)",Adventure
Street Fighter (1994),Action
Mirage (1995),Action
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action
In the Mouth of Madness (1995),Horror
8 Seconds (1994),Drama
Above the Rim (1994),Crime
Addams Family Values (1993),Children
"Age of Innocence, The (1993)",Drama
Airheads (1994),Comedy
"Air Up There, The (1994)",Comedy
Another Stakeout (1993),Comedy
Bad Girls (1994),Western
Barcelona (1994),Comedy
Being Human (1993),Drama
"Beverly Hillbillies, The (1993)",Comedy
Beverly Hills Cop III (1994),Action
Black Beauty (1994),Adventure
Blink (1994),Thriller
Blown Away (1994),Action
Blue Chips (1994),Drama
Blue Sky (1994),Drama
Body Snatchers (1993),Horror
Boxing Helena (1993),Drama
"Bronx Tale, A (1993)",Drama
Cabin Boy (1994),Comedy
Carlito's Way (1993),Crime
City Slickers II: The Legend of Curly's Gold (1994),Adventure
Clean Slate (1994),Comedy
Cliffhanger (1993),Action
Coneheads (1993),Comedy
Color of Night (1994),Drama
Cops and Robbersons (1994),Comedy
"Cowboy Way, The (1994)",Action
Dangerous Game (1993),Drama
Dave (1993),Comedy
Dazed and Confused (1993),Comedy
Demolition Man (1993),Action
"Endless Summer 2, The (1994)",Adventure
Even Cowgirls Get the Blues (1993),Comedy
Fatal Instinct (1993),Comedy
Farewell My Concubine (Ba wang bie ji) (1993),Drama
"Favor, The (1994)",Comedy
Fearless (1993),Drama
Fear of a Black Hat (1994),Comedy
With Honors (1994),Comedy
Flesh and Bone (1993),Drama
Widows' Peak (1994),Drama
For Love or Money (1993),Comedy
"Firm, The (1993)",Drama
Free Willy (1993),Adventure
Fresh (1994),Crime
"Fugitive, The (1993)",Thriller
Geronimo: An American Legend (1993),Drama
"Getaway, The (1994)",Action
Getting Even with Dad (1994),Comedy
Go Fish (1994),Drama
Guilty as Sin (1993),Crime
Hard Target (1993),Action
Heaven & Earth (1993),Action
Hot Shots! Part Deux (1993),Action
Live Nude Girls (1995),Comedy
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy
"House of the Spirits, The (1993)",Drama
House Party 3 (1994),Comedy
"Hudsucker Proxy, The (1994)",Comedy
I'll Do Anything (1994),Comedy
In the Army Now (1994),Comedy
In the Line of Fire (1993),Action
In the Name of the Father (1993),Drama
"Inkwell, The (1994)",Comedy
What's Love Got to Do with It? (1993),Drama
Judgment Night (1993),Action
Jurassic Park (1993),Action
Kalifornia (1993),Drama
Killing Zoe (1994),Crime
King of the Hill (1993),Drama
Lassie (1994),Adventure
Last Action Hero (1993),Action
Life with Mikey (1993),Comedy
Lightning Jack (1994),Comedy
M. Butterfly (1993),Drama
Made in America (1993),Comedy
Malice (1993),Thriller
"Man Without a Face, The (1993)",Drama
Manhattan Murder Mystery (1993),Comedy
Menace II Society (1993),Action
Executive Decision (1996),Action
In the Realm of the Senses (Ai no corrida) (1976),Drama
What Happened Was... (1994),Comedy
Much Ado About Nothing (1993),Comedy
Mr. Jones (1993),Drama
Mr. Wonderful (1993),Comedy
Mrs. Doubtfire (1993),Comedy
Naked (1993),Drama
"Next Karate Kid, The (1994)",Action
No Escape (1994),Action
North (1994),Comedy
Orlando (1992),Drama
"Perfect World, A (1993)",Crime
Philadelphia (1993),Drama
"Piano, The (1993)",Drama
Poetic Justice (1993),Drama
"Program, The (1993)",Action
"Puppet Masters, The (1994)",Horror
Radioland Murders (1994),Comedy
"Ref, The (1994)",Comedy
"Remains of the Day, The (1993)",Drama
Renaissance Man (1994),Comedy
Rising Sun (1993),Action
"Road to Wellville, The (1994)",Comedy
RoboCop 3 (1993),Action
Robin Hood: Men in Tights (1993),Comedy
Romeo Is Bleeding (1993),Crime
Romper Stomper (1992),Action
Ruby in Paradise (1993),Drama
Rudy (1993),Drama
"Savage Nights (Nuits fauves, Les) (1992)",Drama
Schindler's List (1993),Drama
"Scout, The (1994)",Comedy
Searching for Bobby Fischer (1993),Drama
"Secret Garden, The (1993)",Children
Serial Mom (1994),Comedy
"Shadow, The (1994)",Action
Shadowlands (1993),Drama
Short Cuts (1993),Drama
"Simple Twist of Fate, A (1994)",Drama
Sirens (1994),Drama
Six Degrees of Separation (1993),Drama
Sleepless in Seattle (1993),Comedy
Sliver (1993),Thriller
Blade Runner (1982),Action
Son in Law (1993),Comedy
So I Married an Axe Murderer (1993),Comedy
Striking Distance (1993),Action
Super Mario Bros. (1993),Action
Surviving the Game (1994),Action
Terminal Velocity (1994),Action
Thirty-Two Short Films About Glenn Gould (1993),Drama
Threesome (1994),Comedy
"Nightmare Before Christmas, The (1993)",Animation
"Three Musketeers, The (1993)",Action
Tombstone (1993),Action
Trial by Jury (1994),Crime
True Romance (1993),Crime
"War Room, The (1993)",Documentary
"Pagemaster, The (1994)",Action
"Paris, France (1993)",Comedy
Killer (Bulletproof Heart) (1994),Drama
Welcome to the Dollhouse (1995),Comedy
Germinal (1993),Drama
Chasers (1994),Comedy
Cronos (1993),Drama
Kika (1993),Comedy
Bhaji on the Beach (1993),Comedy
Little Big League (1994),Comedy
"Wedding Gift, The (1994)",Drama
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
Spanking the Monkey (1994),Comedy
"Little Rascals, The (1994)",Children
Andre (1994),Adventure
Princess Caraboo (1994),Drama
"Celluloid Closet, The (1995)",Documentary
Métisse (Café au Lait) (1993),Comedy
"Brady Bunch Movie, The (1995)",Comedy
Home Alone (1990),Children
Ghost (1990),Comedy
Aladdin (1992),Adventure
Terminator 2: Judgment Day (1991),Action
Dances with Wolves (1990),Adventure
Batman (1989),Action
"Silence of the Lambs, The (1991)",Crime
Snow White and the Seven Dwarfs (1937),Animation
Beauty and the Beast (1991),Animation
Pinocchio (1940),Animation
Pretty Woman (1990),Comedy
"Wild Bunch, The (1969)",Adventure
Love and a .45 (1994),Action
"Bye Bye, Love (1995)",Comedy
One Fine Day (1996),Drama
Candyman: Farewell to the Flesh (1995),Fantasy
Fargo (1996),Comedy
Homeward Bound II: Lost in San Francisco (1996),Adventure
Heavy Metal (1981),Action
Hellraiser: Bloodline (1996),Action
"Pallbearer, The (1996)",Comedy
Jane Eyre (1996),Drama
Loaded (1994),Drama
Bread and Chocolate (Pane e cioccolata) (1973),Comedy
"Aristocats, The (1970)",Animation
"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy
Ed (1996),Comedy
Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),Drama
My Favorite Season (1993),Drama
"Thin Line Between Love and Hate, A (1996)",Comedy
"Last Supper, The (1995)",Drama
Primal Fear (1996),Crime
Carried Away (1996),Drama
All Dogs Go to Heaven 2 (1996),Adventure
Land and Freedom (Tierra y libertad) (1995),Drama
Denise Calls Up (1995),Comedy
"Family Thing, A (1996)",Comedy
Sgt. Bilko (1996),Comedy
Jack and Sarah (1995),Romance
Girl 6 (1996),Comedy
Diabolique (1996),Drama
Courage Under Fire (1996),Action
Mission: Impossible (1996),Action
Moll Flanders (1996),Drama
"Superweib, Das (1996)",Comedy
Dragonheart (1996),Action
Eddie (1996),Comedy
Purple Noon (Plein soleil) (1960),Crime
James and the Giant Peach (1996),Adventure
Fear (1996),Thriller
Kids in the Hall: Brain Candy (1996),Comedy
Faithful (1996),Comedy
Underground (1995),Comedy
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action
Song of the Little Road (Pather Panchali) (1955),Drama
"World of Apu, The (Apur Sansar) (1959)",Drama
Mystery Science Theater 3000: The Movie (1996),Comedy
Space Jam (1996),Adventure
Barbarella (1968),Adventure
Some Folks Call It a Sling Blade (1993),Drama
"Run of the Country, The (1995)",Drama
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama
Coup de torchon (Clean Slate) (1981),Crime
It's My Party (1996),Drama
Country Life (1994),Drama
Operation Dumbo Drop (1995),Action
"Promise, The (Versprechen, Das) (1995)",Drama
Mrs. Winterbourne (1996),Comedy
Solo (1996),Action
"Substitute, The (1996)",Action
True Crime (1996),Mystery
Butterfly Kiss (1995),Drama
Feeling Minnesota (1996),Drama
Delta of Venus (1995),Drama
Angus (1995),Comedy
Faces (1968),Drama
Boys (1996),Drama
"Quest, The (1996)",Action
Cosi (1996),Comedy
Mulholland Falls (1996),Crime
"Truth About Cats & Dogs, The (1996)",Comedy
Oliver & Company (1988),Adventure
Celtic Pride (1996),Comedy
Flipper (1996),Adventure
Dead Man (1995),Drama
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama
"Visitors, The (Visiteurs, Les) (1993)",Comedy
Multiplicity (1996),Comedy
Wallace & Gromit: The Best of Aardman Animation (1996),Adventure
Halfmoon (Paul Bowles - Halbmond) (1995),Drama
"Haunted World of Edward D. Wood Jr., The (1996)",Documentary
"Craft, The (1996)",Drama
"Great White Hype, The (1996)",Comedy
Last Dance (1996),Drama
Cold Comfort Farm (1995),Comedy
Heaven's Prisoners (1996),Crime
"Rock, The (1996)",Action
Cemetery Man (Dellamorte Dellamore) (1994),Horror
Twister (1996),Action
Barb Wire (1996),Action
Ghost in the Shell (Kôkaku kidôtai) (1995),Animation
Thinner (1996),Horror
Spy Hard (1996),Comedy
Wallace & Gromit: A Close Shave (1995),Animation
Force of Evil (1948),Film-Noir
"Stupids, The (1996)",Comedy
"Arrival, The (1996)",Action
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy
"Month by the Lake, A (1995)",Comedy
Gold Diggers: The Secret of Bear Mountain (1995),Adventure
Kim (1950),Children
Carmen Miranda: Bananas Is My Business (1994),Documentary
Ashes of Time (Dung che sai duk) (1994),Drama
Maya Lin: A Strong Clear Vision (1994),Documentary
Stalingrad (1993),Drama
"Phantom, The (1996)",Action
Striptease (1996),Comedy
Heavy (1995),Drama
Jack (1996),Comedy
I Shot Andy Warhol (1996),Drama
"Grass Harp, The (1995)",Comedy
Marlene Dietrich: Shadow and Light (1996),Documentary
Spirits of the Dead (1968),Horror
Trainspotting (1996),Comedy
'Til There Was You (1997),Drama
Independence Day (a.k.a. ID4) (1996),Action
Stealing Beauty (1996),Drama
"Fan, The (1996)",Drama
"Hunchback of Notre Dame, The (1996)",Animation
"Cable Guy, The (1996)",Comedy
Kingpin (1996),Comedy
Eraser (1996),Action
"Gate of Heavenly Peace, The (1995)",Documentary
"Nutty Professor, The (1996)",Comedy
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),Drama
Daylight (1996),Action
"Frighteners, The (1996)",Comedy
Lone Star (1996),Drama
Harriet the Spy (1996),Children
Phenomenon (1996),Drama
Walking and Talking (1996),Comedy
She's the One (1996),Comedy
"Time to Kill, A (1996)",Drama
American Buffalo (1996),Crime
Alaska (1996),Adventure
Fled (1996),Action
Kazaam (1996),Children
Larger Than Life (1996),Comedy
Two Deaths (1995),Drama
"Very Brady Sequel, A (1996)",Comedy
"Death in the Garden (Mort en ce jardin, La) (1956)",Drama
Kaspar Hauser (1993),Drama
"Adventures of Pinocchio, The (1996)",Adventure
Joe's Apartment (1996),Comedy
"First Wives Club, The (1996)",Comedy
Stonewall (1995),Drama
Ransom (1996),Crime
High School High (1996),Comedy
Phat Beach (1996),Comedy
Foxfire (1996),Drama
Chain Reaction (1996),Action
Matilda (1996),Children
Emma (1996),Comedy
"Crow: City of Angels, The (1996)",Action
House Arrest (1996),Children
"Eyes Without a Face (Yeux sans visage, Les) (1959)",Horror
Tales from the Crypt Presents: Bordello of Blood (1996),Comedy
"Story of Xinghua, The (Xinghua san yue tian) (1994)",Drama
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",Drama
Flirt (1995),Drama
"Spitfire Grill, The (1996)",Drama
Escape from L.A. (1996),Action
Cyclo (Xich lo) (1995),Crime
Basquiat (1996),Drama
Tin Cup (1996),Comedy
"Ballad of Narayama, The (Narayama Bushiko) (1958)",Drama
"Godfather, The (1972)",Crime
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action
"Wife, The (1995)",Comedy
Small Faces (1996),Drama
Bound (1996),Crime
Carpool (1996),Comedy
Kansas City (1996),Crime
Gone Fishin' (1997),Comedy
Vive L'Amour (Ai qing wan sui) (1994),Drama
Nothing to Lose (1994),Action
Supercop 2 (Project S) (Chao ji ji hua) (1993),Action
"Relic, The (1997)",Horror
"Island of Dr. Moreau, The (1996)",Sci-Fi
First Kid (1996),Children
"Trigger Effect, The (1996)",Drama
Bogus (1996),Children
Bulletproof (1996),Action
Land Before Time III: The Time of the Great Giving (1995),Adventure
1-900 (06) (1994),Drama
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror
Twelfth Night (1996),Comedy
Mother Night (1996),Drama
Wild Reeds (Les roseaux sauvages) (1994),Drama
For Whom the Bell Tolls (1943),Adventure
"Philadelphia Story, The (1940)",Comedy
Singin' in the Rain (1952),Comedy
"American in Paris, An (1951)",Musical
Funny Face (1957),Comedy
Breakfast at Tiffany's (1961),Drama
Vertigo (1958),Drama
Rear Window (1954),Mystery
It Happened One Night (1934),Comedy
Gaslight (1944),Drama
"Gay Divorcee, The (1934)",Comedy
North by Northwest (1959),Action
"Apartment, The (1960)",Comedy
Some Like It Hot (1959),Comedy
Charade (1963),Comedy
Casablanca (1942),Drama
"Maltese Falcon, The (1941)",Film-Noir
My Fair Lady (1964),Comedy
Sabrina (1954),Comedy
Roman Holiday (1953),Comedy
"Little Princess, The (1939)",Children
Meet Me in St. Louis (1944),Musical
"Wizard of Oz, The (1939)",Adventure
Gone with the Wind (1939),Drama
My Favorite Year (1982),Comedy
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama
Citizen Kane (1941),Drama
2001: A Space Odyssey (1968),Adventure
All About Eve (1950),Drama
"Women, The (1939)",Comedy
Rebecca (1940),Drama
Foreign Correspondent (1940),Drama
Notorious (1946),Film-Noir
Spellbound (1945),Mystery
"Affair to Remember, An (1957)",Drama
To Catch a Thief (1955),Crime
Father of the Bride (1950),Comedy
"Band Wagon, The (1953)",Comedy
Ninotchka (1939),Comedy
Love in the Afternoon (1957),Comedy
Gigi (1958),Musical
"Reluctant Debutante, The (1958)",Comedy
"Adventures of Robin Hood, The (1938)",Action
"Mark of Zorro, The (1940)",Adventure
Laura (1944),Crime
"Ghost and Mrs. Muir, The (1947)",Drama
Lost Horizon (1937),Drama
Top Hat (1935),Comedy
To Be or Not to Be (1942),Comedy
My Man Godfrey (1936),Comedy
Giant (1956),Drama
East of Eden (1955),Drama
"Thin Man, The (1934)",Comedy
His Girl Friday (1940),Comedy
Around the World in 80 Days (1956),Adventure
It's a Wonderful Life (1946),Children
Mr. Smith Goes to Washington (1939),Drama
Bringing Up Baby (1938),Comedy
Penny Serenade (1941),Drama
"Scarlet Letter, The (1926)",Drama
Angel on My Shoulder (1946),Crime
Little Lord Fauntleroy (1936),Drama
They Made Me a Criminal (1939),Crime
"Inspector General, The (1949)",Musical
Angel and the Badman (1947),Romance
"39 Steps, The (1935)",Drama
A Walk in the Sun (1945),Drama
Night of the Living Dead (1968),Horror
"African Queen, The (1951)",Adventure
Beat the Devil (1953),Adventure
Cat on a Hot Tin Roof (1958),Drama
"Last Time I Saw Paris, The (1954)",Drama
Meet John Doe (1941),Comedy
"Farewell to Arms, A (1932)",Romance
"Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie) (1985)",Action
Dangerous Ground (1997),Drama
Picnic (1955),Drama
